T,Sr,CO2
18.741,13.206,400
18.638,13.118,400
18.535,13.030,400
18.430,12.940,400
18.325,12.850,400
18.218,12.758,400
18.111,12.666,400
18.002,12.573,400
17.893,12.480,400
17.783,12.385,400
17.672,12.290,400
17.560,12.194,400
17.448,12.098,400
17.334,12.001,400
17.220,11.903,400
17.106,11.805,400
16.991,11.706,400
16.875,11.607,400
16.758,11.507,400
16.641,11.407,400
16.524,11.306,400
16.406,11.205,400
16.288,11.104,400
16.169,11.002,400
16.050,10.900,400
15.931,10.798,400
15.812,10.696,400
15.692,10.593,400
15.572,10.490,400
15.452,10.387,400
15.331,10.284,400
15.211,10.181,400
15.090,10.077,400
14.970,9.974,400
14.849,9.871,400
14.729,9.768,400
14.609,9.664,400
14.488,9.561,400
14.368,9.458,400
14.248,9.356,400
14.129,9.253,400
14.009,9.151,400
13.890,9.049,400
13.771,8.947,400
13.653,8.845,400
13.535,8.744,400
13.417,8.643,400
13.300,8.543,400
13.183,8.443,400
13.067,8.343,400
12.952,8.244,400
12.837,8.146,400
12.723,8.048,400
12.609,7.951,400
12.496,7.854,400
12.384,7.758,400
12.273,7.662,400
12.162,7.567,400
12.052,7.473,400
11.943,7.380,400
11.835,7.288,400
11.728,7.196,400
11.622,7.105,400
11.517,7.015,400
11.413,6.926,400
11.310,6.838,400
11.209,6.750,400
11.108,6.664,400
11.008,6.579,400
10.910,6.494,400
10.813,6.411,400
10.717,6.329,400
10.622,6.248,400
10.529,6.168,400
10.437,6.089,400
10.346,6.011,400
10.257,5.934,400
10.169,5.859,400
10.082,5.785,400
9.997,5.712,400
9.914,5.640,400
9.832,5.570,400
9.751,5.501,400
9.672,5.433,400
9.595,5.367,400
9.519,5.302,400
9.445,5.239,400
9.373,5.176,400
9.302,5.116,400
9.233,5.056,400
9.165,4.999,400
9.099,4.942,400
9.035,4.888,400
8.973,4.834,400
8.913,4.782,400
8.854,4.732,400
8.798,4.684,400
8.743,4.636,400
8.689,4.591,400
8.638,4.547,400
8.589,4.505,400
8.542,4.464,400
8.496,4.425,400
8.452,4.388,400
8.411,4.352,400
8.371,4.318,400
8.333,4.286,400
8.298,4.255,400
8.264,4.226,400
8.232,4.199,400
8.202,4.173,400
8.175,4.150,400
8.149,4.128,400
8.125,4.107,400
8.103,4.089,400
8.084,4.072,400
8.066,4.057,400
8.051,4.044,400
8.037,4.032,400
8.026,4.022,400
8.017,4.014,400
8.009,4.008,400
8.004,4.004,400
8.001,4.001,400
8.000,4.000,400
8.001,4.001,400
8.004,4.004,400
8.009,4.008,400
8.017,4.014,400
8.026,4.022,400
8.037,4.032,400
8.051,4.044,400
8.066,4.057,400
8.084,4.072,400
8.103,4.089,400
8.125,4.107,400
8.149,4.128,400
8.175,4.150,400
8.202,4.173,400
8.232,4.199,400
8.264,4.226,400
8.298,4.255,400
8.333,4.286,400
8.371,4.318,400
8.411,4.352,400
8.452,4.388,400
8.496,4.425,400
8.542,4.464,400
8.589,4.505,400
8.638,4.547,400
8.689,4.591,400
8.743,4.636,400
8.798,4.684,400
8.854,4.732,400
8.913,4.782,400
8.973,4.834,400
9.035,4.888,400
9.099,4.942,400
9.165,4.999,400
9.233,5.056,400
9.302,5.116,400
9.373,5.176,400
9.445,5.239,400
9.519,5.302,400
9.595,5.367,400
9.672,5.433,400
9.751,5.501,400
9.832,5.570,400
9.914,5.640,400
9.997,5.712,400
10.082,5.785,400
10.169,5.859,400
10.257,5.934,400
10.346,6.011,400
10.437,6.089,400
10.529,6.168,400
10.622,6.248,400
10.717,6.329,400
10.813,6.411,400
10.910,6.494,400
11.008,6.579,400
11.108,6.664,400
11.209,6.750,400
11.310,6.838,400
11.413,6.926,400
11.517,7.015,400
11.622,7.105,400
11.728,7.196,400
11.835,7.288,400
11.943,7.380,400
12.052,7.473,400
12.162,7.567,400
12.273,7.662,400
12.384,7.758,400
12.496,7.854,400
12.609,7.951,400
12.723,8.048,400
12.837,8.146,400
12.952,8.244,400
13.067,8.343,400
13.183,8.443,400
13.300,8.543,400
13.417,8.643,400
13.535,8.744,400
13.653,8.845,400
13.771,8.947,400
13.890,9.049,400
14.009,9.151,400
14.129,9.253,400
14.248,9.356,400
14.368,9.458,400
14.488,9.561,400
14.609,9.664,400
14.729,9.768,400
14.849,9.871,400
14.970,9.974,400
15.090,10.077,400
15.211,10.181,400
15.331,10.284,400
15.452,10.387,400
15.572,10.490,400
15.692,10.593,400
15.812,10.696,400
15.931,10.798,400
16.050,10.900,400
16.169,11.002,400
16.288,11.104,400
16.406,11.205,400
16.524,11.306,400
16.641,11.407,400
16.758,11.507,400
16.875,11.607,400
16.991,11.706,400
17.106,11.805,400
17.220,11.903,400
17.334,12.001,400
17.448,12.098,400
17.560,12.194,400
17.672,12.290,400
17.783,12.385,400
